Year,Month,Day,Time (in MPH),Speed
2019,12,02,14:01:31,30.279656694805535
2019,12,02,14:01:36,20.21569987985106
2019,12,02,14:01:51,18.44349198764391
2019,12,02,14:01:56,20.27187652473165
2019,12,02,14:02:24,28.786470149185376
2019,12,02,14:02:30,20.630285381714017
2019,12,02,14:02:35,17.336657906992375
2019,12,02,14:02:45,18.917569323960024
2019,12,02,14:02:50,20.65816983197745
2019,12,02,14:16:21,25.694900541827252
2019,12,02,14:16:27,19.31582235760801
2020,02,04,20:35:44,41.968772983114455
2020,02,04,20:35:48,21.024526393336533
2020,02,04,20:36:16,22.367758302978363
2020,02,04,20:36:30,19.1143427208317
2020,02,04,20:36:37,17.555967730772657
2020,02,04,20:36:47,27.910332235816032
2020,02,05,11:54:23,36.828480508026104
2020,02,05,11:54:27,18.954877855576274
2020,02,06,00:03:44,55.82184055906798
